Time,Voltage,Current
16933,3.695500373840332,0.0
16934,3.695409059524536,0.0
16935,3.6954994201660156,0.0
16936,3.6955065727233887,0.0
16937,3.69557785987854,0.0
16938,3.695660352706909,0.0
16939,3.6956465244293213,0.0
16940,3.69561505317688,0.0
16941,3.695634365081787,0.0
16942,3.695751667022705,0.0
16943,3.6959002017974854,0.0
16944,3.6957967281341553,0.0
16945,3.695796012878418,0.0
16946,3.695770740509033,0.0
16947,3.6959192752838135,0.0
16948,3.6959376335144043,0.0
16949,3.6959080696105957,0.0
16950,3.6959550380706787,0.0
16951,3.695990562438965,0.0
16952,3.695894241333008,0.0
16953,3.696059226989746,0.0
16954,3.696052312850952,0.0
16955,3.6962270736694336,0.0
16956,3.695929765701294,0.0
16957,3.6961541175842285,0.0
16958,3.6961262226104736,0.0
16959,3.6962921619415283,0.0
16960,3.6962296962738037,0.0
16961,3.6963295936584473,0.0
16962,3.696354866027832,0.0
16963,3.696408748626709,0.0
16964,3.6963322162628174,0.0
16965,3.6963765621185303,0.0
16966,3.696411371231079,0.0
16967,3.6965253353118896,0.0
16968,3.6965365409851074,0.0
16969,3.6965017318725586,0.0
16970,3.6965904235839844,0.0
16971,3.696615695953369,0.0
16972,3.696629524230957,0.0
16973,3.6967313289642334,0.0
16974,3.696732997894287,0.0
16975,3.696718215942383,0.0
16976,3.696690320968628,0.0
16977,3.6967356204986572,0.0
16978,3.6966798305511475,0.0
16979,3.6966817378997803,0.0
16980,3.696789503097534,0.0
16981,3.6967382431030273,0.0
16982,3.6967885494232178,0.0
16983,3.6968963146209717,0.0
16984,3.696854591369629,0.0
16985,3.6967504024505615,0.0
16986,3.6969590187072754,0.0
16987,3.696974515914917,0.0
16988,3.697110176086426,0.0
16989,3.697039842605591,0.0
16990,3.6968955993652344,0.0
16991,3.6970624923706055,0.0
16992,3.697028398513794,0.0
16993,3.6970911026000977,0.0
16994,3.697158098220825,0.0
16995,3.697155475616455,0.0
16996,3.6971189975738525,0.0
16997,3.6972241401672363,0.0
16998,3.6971023082733154,0.0
16999,3.697239637374878,0.0
17000,3.6972544193267822,0.0
17001,3.6971797943115234,0.0
17002,3.6972875595092773,0.0
17003,3.697298765182495,0.0
17004,3.6974143981933594,0.0
17005,3.697352647781372,0.0
17006,3.697401523590088,0.0
17007,3.6974127292633057,0.0
17008,3.6973867416381836,0.0
17009,3.6974213123321533,0.0
17010,3.6974804401397705,0.0
17011,3.697418689727783,0.0
17012,3.697500467300415,0.0
17013,3.697551727294922,0.0
17014,3.6977691650390625,0.0
17015,3.6977081298828125,0.0
17016,3.697598695755005,0.0
17017,3.697550058364868,0.0
17018,3.6974735260009766,0.0
17019,3.6975796222686768,0.0
17020,3.6976864337921143,0.0
17021,3.6976308822631836,0.0
17022,3.69767427444458,0.0
17023,3.69762921333313,0.0
17024,3.697826385498047,0.0
17025,3.697770833969116,0.0
17026,3.6978135108947754,0.0
17027,3.697805643081665,0.0
17028,3.6978750228881836,0.0
17029,3.697939395904541,0.0
17030,3.69777250289917,0.0
17031,3.697838544845581,0.0
17032,3.697960376739502,0.0
17033,3.697866439819336,0.0
17034,3.6978299617767334,0.0
17035,3.6980159282684326,0.0
17036,3.6978073120117188,0.0
17037,3.697903871536255,0.0
17038,3.6978673934936523,0.0
17039,3.6979360580444336,0.0
17040,3.698143720626831,0.0
17041,3.697986364364624,0.0
17042,3.6980628967285156,0.0
17043,3.698045492172241,0.0
17044,3.6981818675994873,0.0
17045,3.698007345199585,0.0
17046,3.6981515884399414,0.0
17047,3.698058605194092,0.0
17048,3.697981119155884,0.0
17049,3.6980855464935303,0.0
17050,3.6982288360595703,0.0
17051,3.698193311691284,0.0
17052,3.6981499195098877,0.0
17053,3.698331594467163,0.0
17054,3.698288917541504,0.0
17055,3.698418378829956,0.0
17056,3.6982672214508057,0.0
17057,3.698204517364502,0.0
17058,3.6983141899108887,0.0
17059,3.698312282562256,0.0
17060,3.698228120803833,0.0
17061,3.698338508605957,0.0
17062,3.6983931064605713,0.0
17063,3.6983115673065186,0.0
17064,3.698211431503296,0.0
17065,3.698401927947998,0.0
17066,3.698406219482422,0.0
17067,3.6984689235687256,0.0
17068,3.698484420776367,0.0
17069,3.698486328125,0.0
17070,3.6985270977020264,0.0
17071,3.698439359664917,0.0
17072,3.698421001434326,0.0
17073,3.698547840118408,0.0
17074,3.698530435562134,0.0
17075,3.6984028816223145,0.0
17076,3.698453187942505,0.0
17077,3.698566198348999,0.0
17078,3.6984949111938477,0.0
17079,3.6986443996429443,0.0
17080,3.6986217498779297,0.0
17081,3.6986730098724365,0.0
17082,3.698613166809082,0.0
17083,3.69862699508667,0.0
17084,3.6986775398254395,0.0
17085,3.698716640472412,0.0
17086,3.6987287998199463,0.0
17087,3.6986069679260254,0.0
17088,3.698601722717285,0.0
17089,3.698770523071289,0.0
17090,3.6986703872680664,0.0
17091,3.698798179626465,0.0
17092,3.698814868927002,0.0
17093,3.6987199783325195,0.0
17094,3.6988165378570557,0.0
17095,3.698753833770752,0.0
17096,3.698786973953247,0.0
17097,3.6988277435302734,0.0
17098,3.6989216804504395,0.0
17099,3.698704481124878,0.0
17100,3.698866844177246,0.0
17101,3.698784351348877,0.0
17102,3.6987860202789307,0.0
17103,3.698894739151001,0.0
17104,3.6987974643707275,0.0
17105,3.698976516723633,0.0
17106,3.69893741607666,0.0
17107,3.6989407539367676,0.0
17108,3.6989059448242188,0.0
17109,3.698970317840576,0.0
17110,3.6989834308624268,0.0
17111,3.699063301086426,0.0
17112,3.6990182399749756,0.0
17113,3.6991946697235107,0.0
17114,3.699063301086426,0.0
17115,3.699199914932251,0.0
17116,3.6990773677825928,0.0
17117,3.6989755630493164,0.0
17118,3.6990747451782227,0.0
17119,3.699007749557495,0.0
17120,3.6989870071411133,0.0
17121,3.6991634368896484,0.0
17122,3.6991729736328125,0.0
17123,3.6991512775421143,0.0
17124,3.6991233825683594,0.0
17125,3.699047803878784,0.0
17126,3.6990416049957275,0.0
17127,3.699150323867798,0.0
17128,3.699131965637207,0.0
17129,3.699172019958496,0.0
17130,3.699166774749756,0.0
17131,3.699228525161743,0.0
17132,3.699223279953003,0.0
17133,3.6990954875946045,0.0
17134,3.6992580890655518,0.0
17135,3.6992199420928955,0.0
17136,3.699212074279785,0.0
17137,3.6991729736328125,0.0
17138,3.6992275714874268,0.0
17139,3.6993277072906494,0.0
17140,3.6993119716644287,0.0
17141,3.699354648590088,0.0
17142,3.6992380619049072,0.0
17143,3.6993796825408936,0.0
17144,3.6993494033813477,0.0
17145,3.6993250846862793,0.0
17146,3.699471950531006,0.0
17147,3.6993398666381836,0.0
17148,3.6993398666381836,0.0
17149,3.699354648590088,0.0
17150,3.699458122253418,0.0
17151,3.699456214904785,0.0
17152,3.699453592300415,0.0
17153,3.699326753616333,0.0
17154,3.6994335651397705,0.0
17155,3.6994597911834717,0.0
17156,3.6995317935943604,0.0
17157,3.6994476318359375,0.0
17158,3.699591875076294,0.0
17159,3.699557065963745,0.0
